psNumber,title,organisation,department,category,theme,submitted,cap,deadline,youtube,dataset
SIH26131,Early detection and management of crop diseases and pest infestations,Government Of Maharashtra,"Maharashtra State Innovation Society, Department of Skills, Employment, Entrepreneurship and Innovation",Software,"Agriculture, FoodTech & Rural Development",15,500,30 September 2026,,
SIH26132,Strengthening market linkages and price discovery for farmers,Government Of Maharashtra,"Maharashtra State Innovation Society, Department of Skills, Employment, Entrepreneurship and Innovation",Software,"Agriculture, FoodTech & Rural Development",8,500,30 September 2026,,
SIH26133,"Accessibility and quality of public healthcare services,particularly in rural and underserved areas",Government Of Maharashtra,"Maharashtra State Innovation Society, Department of Skills, Employment, Entrepreneurship and Innovation",Software,MedTech / BioTech / HealthTech,10,500,30 September 2026,,
SIH26134,Challenges in aligning skill development programs with industry requirements and emerging job market demands,Government Of Maharashtra,"Maharashtra State Innovation Society, Department of Skills, Employment, Entrepreneurship and Innovation",Software,Miscellaneous,1,500,30 September 2026,,
SIH26135,"Difficulties in tracking employment outcomes,skill gaps, and the impact of skilling initiatives",Government Of Maharashtra,"Maharashtra State Innovation Society, Department of Skills, Employment, Entrepreneurship and Innovation",Software,Miscellaneous,1,500,30 September 2026,,
SIH26136,"Startup friendly public procurement mechanism that enables government departments to identify,pilot, procure,and scale innovative solutions from eligible startups",Government Of Maharashtra,"Maharashtra State Innovation Society, Department of Skills, Employment, Entrepreneurship and Innovation",Software,Miscellaneous,3,500,30 September 2026,,
SIH26137,Quantum-Inspired Intelligent Traffic Route Optimization in Transportation Systems Using Metaheuristic Optimization,Egreen Quanta,Egreen Quanta,Software,Transportation & Logistics,1,500,30 September 2026,,
SIH26138,Quantum-Inspired Fuel Consumption Prediction and Green Fleet Optimization,Egreen Quanta,Egreen Quanta,Software,Clean & Green Technology,0,500,30 September 2026,,
SIH26139,Hybrid Quantum Machine Learning Platform for Early Disease Detection,Egreen Quanta,Egreen Quanta,Software,MedTech / BioTech / HealthTech,2,500,30 September 2026,,
SIH26140,AI-Based Interactive Quantum Algorithm Learning Platform,Egreen Quanta,Egreen Quanta,Software,Smart Education,1,500,30 September 2026,,
SIH26141,Quantum-Inspired Cyber Threat Detection for Digital Signature Security,Egreen Quanta,Egreen Quanta,Software,Blockchain & Cybersecurity,0,500,30 September 2026,,
SIH26142,Deep Learning Based Super Resolution Mapping (SRM) from Medium Resolution Satellite Imageries,National Technical Research Organisation (NTRO),National Technical Research Organisation (NTRO),Software,Space Technology,0,500,30 September 2026,https://www.youtube.com/watch?v=cQoHSStTEdM,https://browser.dataspace.copernicus.eu
SIH26143,Leveraging satellite imagery to determine Oil spills at sea along with AIS data correlations to identify vessel responsible for the spill.,National Technical Research Organisation (NTRO),National Technical Research Organisation (NTRO),Software,Disaster Management,2,500,30 September 2026,https://www.youtube.com/watch?v=cQoHSStTEdM,
SIH26144,Design & Development of a High-Sensitivity Micro barometer Infrasound sensor,National Technical Research Organisation (NTRO),National Technical Research Organisation (NTRO),Hardware,Smart Automation,0,500,30 September 2026,,
SIH26145,AI-Based Detection of Cyber Threats in Unidirectional IP Traffic,National Technical Research Organisation (NTRO),National Technical Research Organisation (NTRO),Software,Blockchain & Cybersecurity,3,500,30 September 2026,,
SIH26146,AI-Powered Monitoring & Analysis of Bitcoin Transaction Traffic,National Technical Research Organisation (NTRO),National Technical Research Organisation (NTRO),Software,Blockchain & Cybersecurity,2,500,30 September 2026,,https://drive.google.com/file/d/1J7cAKc0i7KPQRjmMU9uvR1yJb7BVgiMs/view?usp=drive_link%22
SIH26147,Automated model for analysis of .IQ and .wav files along with signal parameter extraction,National Technical Research Organisation (NTRO),National Technical Research Organisation (NTRO),Software,Space Technology,0,500,30 September 2026,,
SIH26148,Creation of scripts/functions with new programming language to commence Computer & Network forensic analysis without triggering security solutions,National Technical Research Organisation (NTRO),National Technical Research Organisation (NTRO),Software,Blockchain & Cybersecurity,0,500,30 September 2026,,
SIH26149,Design and Development of an Integrated Secure Data Erasure and Advanced File Recovery Tool for Digital Forensics and Data Sanitization,National Technical Research Organisation (NTRO),National Technical Research Organisation (NTRO),Software,Blockchain & Cybersecurity,2,500,30 September 2026,,
SIH26150,"Development of a Multi-Vendor DVR/NVR Forensic Analysis Tool for Standardized Acquisition, Recovery, and Analysis of Surveillance Evidence.",National Technical Research Organisation (NTRO),National Technical Research Organisation (NTRO),Software,Blockchain & Cybersecurity,1,500,30 September 2026,,
SIH26151,Dark web threat actor de-anonymization,National Technical Research Organisation (NTRO),National Technical Research Organisation (NTRO),Software,Blockchain & Cybersecurity,2,500,30 September 2026,,
SIH26152,Social Media Analytics,National Technical Research Organisation (NTRO),National Technical Research Organisation (NTRO),Software,Blockchain & Cybersecurity,3,500,30 September 2026,,
SIH26153,AI based Network Attack Forecasting from Network Traffic Data,National Technical Research Organisation (NTRO),National Technical Research Organisation (NTRO),Software,Blockchain & Cybersecurity,4,500,30 September 2026,,
SIH26154,Gen AI Platform for Automated Content Transformation,National Technical Research Organisation (NTRO),National Technical Research Organisation (NTRO),Software,Blockchain & Cybersecurity,3,500,30 September 2026,,
SIH26155,AI-Driven Multi-Vendor Network Security Compliance Auditor,National Technical Research Organisation (NTRO),National Technical Research Organisation (NTRO),Software,Blockchain & Cybersecurity,3,500,30 September 2026,,
SIH26156,Universal Log Pre-processing Framework,National Technical Research Organisation (NTRO),National Technical Research Organisation (NTRO),Software,Blockchain & Cybersecurity,1,500,30 September 2026,,
SIH26157,Supervisory Analytics Tool for SOC Assessment (SAT-SA),National Technical Research Organisation (NTRO),National Technical Research Organisation (NTRO),Software,Blockchain & Cybersecurity,0,500,30 September 2026,,
SIH26158,Single-Pass Drone Video to Accurate 3D Model Generation System,National Technical Research Organisation (NTRO),National Technical Research Organisation (NTRO),Software,Robotics and Drones,1,500,30 September 2026,,
SIH26159,SecureMailScope: AI-Assisted Cryptographic Security Posture Assessment for Secure Email Communications,National Technical Research Organisation (NTRO),National Technical Research Organisation (NTRO),Software,Blockchain & Cybersecurity,1,500,30 September 2026,,
SIH26160,AI-Powered IPsec VPN Protocol Analyzer and Security Assessment Framework,National Technical Research Organisation (NTRO),National Technical Research Organisation (NTRO),Software,Blockchain & Cybersecurity,0,500,30 September 2026,,
SIH26161,Dam Break Inundation Modelling Using Hydrodynamic Modelling of any River,National Technical Research Organisation (NTRO),National Technical Research Organisation (NTRO),Software,Disaster Management,0,500,30 September 2026,,
SIH26162,"AI-Based Detection and Classification of Industrial Fires and Persistent Thermal Sources Using NASA FIRMS, OSM & Satellite Data",National Technical Research Organisation (NTRO),National Technical Research Organisation (NTRO),Software,Disaster Management,1,500,30 September 2026,,
SIH26163,Security Assessment of the World Monitor application,National Technical Research Organisation (NTRO),National Technical Research Organisation (NTRO),Software,Smart Automation,0,500,30 September 2026,https://www.youtube.com/watch?v=-wws31Ol3mc,
SIH26164,Enterprise Cryptographic Discovery & Analysis Tool (ECDAT),National Technical Research Organisation (NTRO),National Technical Research Organisation (NTRO),Software,Blockchain & Cybersecurity,1,500,30 September 2026,,
SIH26165,AI/NLP Engine to Detect Serious Injury & Fatality (SIF) Precursors in OIL's Unsafe-Act/Unsafe-Condition and Near-Miss Reports,Oil India Limited,Oil India Limited,Software,Smart Automation,2,500,30 September 2026,,
SIH26166,"Multi-modal, Sun angle and scale invariant image correspondence using Chandrayaan-2 optical images (OHRC, TMC and IIRS)",Indian Space Research Organisation(ISRO),Department of Space / Indian Space Research Organisation,Software,Space Technology,6,500,30 September 2026,,
SIH26167,SatQuery AI - An Interactive Vision-Language Assistant for Multimodal Remote Sensing Image Analysis through Text Queries,Indian Space Research Organisation(ISRO),Department of Space / Indian Space Research Organisation,Software,Space Technology,2,500,30 September 2026,,
SIH26168,AI-ML based Intelligent Dead Reckoning system for seamless navigation,Indian Space Research Organisation(ISRO),Department of Space / Indian Space Research Organisation,Software,Smart Vehicles,1,500,30 September 2026,,
SIH26169,Development of an AI-Based Virtual Camera Tracking System for Coarse Alignment of Mobile Free Space Optical Communication (FSOC) Terminals,Indian Space Research Organisation(ISRO),Department of Space / Indian Space Research Organisation,Software,Smart Automation,0,500,30 September 2026,,
SIH26170,AI-Driven Anomaly Detection in Component Burn-In & Screening,Indian Space Research Organisation(ISRO),Department of Space / Indian Space Research Organisation,Software,Smart Automation,3,500,30 September 2026,,
SIH26171,On-device Visual Perception for Light-weight Browser Agents,Indian Space Research Organisation(ISRO),Department of Space / Indian Space Research Organisation,Software,Smart Automation,1,500,30 September 2026,,
SIH26172,Low Latency and Efficient Voice Activator for Edge Devices,Indian Space Research Organisation(ISRO),Department of Space / Indian Space Research Organisation,Hardware,Smart Automation,3,500,30 September 2026,,
SIH26173,iTantra -Indian Multilingual TTS & STT Aided Neural Transceiver Radio Access for low bitrate links,Indian Space Research Organisation(ISRO),Department of Space / Indian Space Research Organisation,Software,Smart Automation,2,500,30 September 2026,,
SIH26174,AI Human Activity Recognition for On-board BAS Experiments,Indian Space Research Organisation(ISRO),Department of Space / Indian Space Research Organisation,Software,Space Technology,2,500,30 September 2026,,
SIH26175,DepthWizard - Single-View Height Estimation and 3D Flythrough,Indian Space Research Organisation(ISRO),Department of Space / Indian Space Research Organisation,Software,Disaster Management,1,500,30 September 2026,,
SIH26176,ORCA Marine EcOsystem Reasoning with Collaborative Agents,Indian Space Research Organisation(ISRO),Department of Space / Indian Space Research Organisation,Software,Disaster Management,4,500,30 September 2026,,
SIH26177,"A deployable AI-powered autonomous drone that aids search-and-rescue operations by detecting people and hazards, thereby improving responder safety and reducing victim discovery time.",Qualcomm Inc,Qualcomm Inc,Hardware,Robotics and Drones,10,500,30 September 2026,,
SIH26178,"A resilient, AI-powered environmental monitoring network that provides early detection, localized intelligence, and actionable alerts for floods, forest fires, pollution events, and other environmental hazards common in India, enabling authorities and communities to shift from reactive disaster response to proactive risk prevention.",Qualcomm Inc,Qualcomm Inc,Hardware,Disaster Management,5,500,30 September 2026,,
SIH26179,"To build an AI-powered retail intelligence platform that delivers real-time shopper analytics, automated inventory visibility, and proactive queue management through on-device AI,enabling retailers to reduce stock-outs, improve customer experience, optimize staffing, and increase operational efficiency while maintaining privacy and minimizing cloud dependency.",Qualcomm Inc,Qualcomm Inc,Hardware,Miscellaneous,0,500,30 September 2026,,
SIH26180,,Qualcomm Inc,Qualcomm Inc,Hardware,"Agriculture, FoodTech & Rural Development",12,500,30 September 2026,,
SIH26181,,Qualcomm Inc,Qualcomm Inc,Hardware,MedTech / BioTech / HealthTech,3,500,30 September 2026,,
SIH26182,Automated Attribution of Unknown Cryptocurrency Wallets to Nearest Virtual Asset Service Providers (VASPs) through Blockchain Intelligence APIs,Ministry of Home Affairs,"Indian Cyber Crime Coordination Centre (I4C),CIS Division",Software,Blockchain & Cybersecurity,1,500,30 September 2026,,
SIH26183,Real-Time Identification of Fraud-Linked Cryptocurrency Exchanges from Victim-Reported Suspect Wallet Addresses through Automated Blockchain Analytics,Ministry of Home Affairs,"Indian Cyber Crime Coordination Centre (I4C),CIS Division",Software,Blockchain & Cybersecurity,3,500,30 September 2026,,
SIH26184,"Development of a Predictive Analytics Framework for Cybercrime Complaints to Forecast Likely Cash Withdrawal Locations in Advance, Enabling Generation of Actionable Intelligence for Timely and Proactive Cybercrime Intervention.",Ministry of Home Affairs,"Indian Cyber Crime Coordination Centre (I4C),CIS Division",Software,Blockchain & Cybersecurity,3,500,30 September 2026,,
SIH26185,Helmet mounted conformal antenna for tactical communications in urban CQB environments.,Ministry of Home Affairs,"National Security Guard (NSG), Police II Division",Hardware,Robotics and Drones,1,500,30 September 2026,,
SIH26186,AI-Based Predictive Personnel Stress and Welfare Monitoring System for Uniformed Forces,Ministry of Home Affairs,"Central Reserve Police Force (CRPF), Police II Division",Software,MedTech / BioTech / HealthTech,1,500,30 September 2026,,
SIH26187,AI-Based Intelligent Video Analytics Platform for Border Surveillance using existing CCTV Infrastructure.,Ministry of Home Affairs,"Sashastra Seema Bal (SSB), Police II Division",Software,Blockchain & Cybersecurity,7,500,30 September 2026,,
SIH26188,Al-Based Fake Identity & Document Screening System,Ministry of Home Affairs,"Sashastra Seema Bal (SSB), Police II Division",Software,Blockchain & Cybersecurity,10,500,30 September 2026,,
SIH26189,AI-Powered Criminal Network Analysis System,Ministry of Home Affairs,"National Crime Records Bureau (NCRB), Women Safety Division",Software,Blockchain & Cybersecurity,6,500,30 September 2026,,
SIH26190,Secure Digital Document Management System for Legal and Investigation Documents,Ministry of Home Affairs,"National Crime Records Bureau (NCRB), Women Safety Division",Software,Blockchain & Cybersecurity,2,500,30 September 2026,,
SIH26191,"Intelligent Identification of Hazard-Based Red Zones, Carrying Capacity Assessment, and Immediate Relocation Needs for Vulnerable Habitations",Ministry of Home Affairs,"National Disaster Response Force (NDRF), DM Division",Software,Disaster Management,2,500,30 September 2026,,
SIH26192,Flash Flood Prediction System for Hilly Regions using Multi-Source Data Theme,Ministry of Home Affairs,"National Disaster Response Force (NDRF), DM Division",Software,Disaster Management,3,500,30 September 2026,,
SIH26193,"Student Innovation-Developing solutions, keeping in mind the need to enhance the primary sector of India - Agriculture and to manage and process our agriculture produce.",AICTE,"AICTE, MIC-Student Innovation",Software,"Agriculture, FoodTech & Rural Development",7,500,30 September 2026,,
SIH26194,Student Innovation-Provide ideas in a decentralized and distributed ledger technology used to store digital information that powers cryptocurrencies and NFTs and can radically change multiple sectors.,AICTE,"AICTE, MIC-Student Innovation",Software,Blockchain & Cybersecurity,4,500,30 September 2026,,
SIH26195,"Student Innovation-Solutions could be in the form of waste segregation, disposal, and improve sanitization system.",AICTE,"AICTE, MIC-Student Innovation",Software,Clean & Green Technology,4,500,30 September 2026,,
SIH26196,Student Innovation-Ideas that can boost fitness activities and assist in keeping fit.,AICTE,"AICTE, MIC-Student Innovation",Software,Fitness & Sports,3,500,30 September 2026,,
SIH26197,Student Innovation-Ideas that showcase the rich cultural heritage and traditions of India.,AICTE,"AICTE, MIC-Student Innovation",Software,Heritage & Culture,10,500,30 September 2026,,
SIH26198,"Student Innovation-Cutting-edge technology in these sectors continues to be in demand. Recent shifts in healthcare trends, growing populations also present an array of opportunities for innovation.",AICTE,"AICTE, MIC-Student Innovation",Software,MedTech / BioTech / HealthTech,8,500,30 September 2026,,
SIH26199,"Student Innovation-Technology ideas in tertiary sectors like Hospitality, Financial Services, Entertainment and Retail.",AICTE,"AICTE, MIC-Student Innovation",Software,Miscellaneous,7,500,30 September 2026,,
SIH26200,Student Innovation-Innovative ideas that help manage and generate renewable /sustainable sources more efficiently,AICTE,"AICTE, MIC-Student Innovation",Software,Renewable / Sustainable Energy,2,500,30 September 2026,,
SIH26201,"Student Innovation-There is a need to design drones and robots that can solve some of the pressing challenges of India such as handling medical emergencies, search and rescue operations, etc.",AICTE,"AICTE, MIC-Student Innovation",Software,Robotics and Drones,1,500,30 September 2026,,
SIH26202,Student Innovation-Ideas focused on the intelligent use of resources for transforming and advancements of technology with combining the artificial intelligence to explore more various sources and get valuable insights.,AICTE,"AICTE, MIC-Student Innovation",Software,Smart Automation,9,500,30 September 2026,,
SIH26203,Student Innovation-Creating intelligent devices to improve commutation sector.,AICTE,"AICTE, MIC-Student Innovation",Software,Smart Vehicles,1,500,30 September 2026,,
SIH26204,"Student Innovation-A solution/idea that can boost the current situation of the tourism industries including hotels, travel and others.",AICTE,"AICTE, MIC-Student Innovation",Software,Travel & Tourism,14,500,30 September 2026,,
SIH26205,"Student Innovation-Submit your ideas to address the growing pressures on the city’s resources, transport networks, and logistic infrastructure.",AICTE,"AICTE, MIC-Student Innovation",Software,Transportation & Logistics,7,500,30 September 2026,,
SIH26206,"Student Innovation-Disaster management includes ideas related to risk mitigation, Planning and management before, after or during a disaster.",AICTE,"AICTE, MIC-Student Innovation",Software,Disaster Management,13,500,30 September 2026,,
SIH26207,"Student Innovation-Smart education,a concept that describes learning in digital age. It enables learners to learn more effectively, efficiently, flexibly and comfortably.",AICTE,"AICTE, MIC-Student Innovation",Software,Smart Education,13,500,30 September 2026,,
SIH26208,"Student Innovation-Challenge your creative mind to conceptualize and develop unique toys and games based on our civilization, history, and culture etc.",AICTE,"AICTE, MIC-Student Innovation",Software,Toys & Games,4,500,30 September 2026,,
SIH26209,"Student Innovation-Space technology refers to the application of engineering principles to the design, development, manufacture, and operation of devices and systems for space travel and exploration.",AICTE,"AICTE, MIC-Student Innovation",Software,Space Technology,1,500,30 September 2026,,
SIH26210,"Student Innovation-Developing solutions, keeping in mind the need to enhance the primary sector of India - Agriculture and to manage and process our agriculture produce.",AICTE,"AICTE, MIC-Student Innovation",Hardware,"Agriculture, FoodTech & Rural Development",2,500,30 September 2026,,
SIH26211,Student Innovation-Provide ideas in a decentralized and distributed ledger technology used to store digital information that powers cryptocurrencies and NFTs and can radically change multiple sectors.,AICTE,"AICTE, MIC-Student Innovation",Hardware,Blockchain & Cybersecurity,0,500,30 September 2026,,
SIH26212,"Student Innovation-Solutions could be in the form of waste segregation, disposal, and improve sanitization system.",AICTE,"AICTE, MIC-Student Innovation",Hardware,Clean & Green Technology,3,500,30 September 2026,,
SIH26213,Student Innovation-Ideas that can boost fitness activities and assist in keeping fit.,AICTE,"AICTE, MIC-Student Innovation",Hardware,Fitness & Sports,1,500,30 September 2026,,
SIH26214,Student Innovation-Ideas that showcase the rich cultural heritage and traditions of India.,AICTE,"AICTE, MIC-Student Innovation",Hardware,Heritage & Culture,1,500,30 September 2026,,
SIH26215,"Student Innovation-Cutting-edge technology in these sectors continues to be in demand. Recent shifts in healthcare trends, growing populations also present an array of opportunities for innovation.",AICTE,"AICTE, MIC-Student Innovation",Hardware,MedTech / BioTech / HealthTech,5,500,30 September 2026,,
SIH26216,"Student Innovation-Technology ideas in tertiary sectors like Hospitality, Financial Services, Entertainment and Retail.",AICTE,"AICTE, MIC-Student Innovation",Hardware,Miscellaneous,2,500,30 September 2026,,
SIH26217,Student Innovation-Innovative ideas that help manage and generate renewable /sustainable sources more efficiently,AICTE,"AICTE, MIC-Student Innovation",Hardware,Renewable / Sustainable Energy,12,500,30 September 2026,,
SIH26218,"Student Innovation-There is a need to design drones and robots that can solve some of the pressing challenges of India such as handling medical emergencies, search and rescue operations, etc.",AICTE,"AICTE, MIC-Student Innovation",Hardware,Robotics and Drones,5,500,30 September 2026,,
SIH26219,Student Innovation-Ideas focused on the intelligent use of resources for transforming and advancements of technology with combining the artificial intelligence to explore more various sources and get valuable insights.,AICTE,"AICTE, MIC-Student Innovation",Hardware,Smart Automation,5,500,30 September 2026,,
SIH26220,Student Innovation-Creating intelligent devices to improve commutation sector.,AICTE,"AICTE, MIC-Student Innovation",Hardware,Smart Vehicles,7,500,30 September 2026,,
SIH26221,"Student Innovation-A solution/idea that can boost the current situation of the tourism industries including hotels, travel and others.",AICTE,"AICTE, MIC-Student Innovation",Hardware,Travel & Tourism,0,500,30 September 2026,,
SIH26222,"Student Innovation-Submit your ideas to address the growing pressures on the city’s resources, transport networks, and logistic infrastructure.",AICTE,"AICTE, MIC-Student Innovation",Hardware,Transportation & Logistics,5,500,30 September 2026,,
SIH26223,"Student Innovation-Disaster management includes ideas related to risk mitigation, Planning and management before, after or during a disaster.",AICTE,"AICTE, MIC-Student Innovation",Hardware,Disaster Management,2,500,30 September 2026,,
SIH26224,"Student Innovation-Smart education,a concept that describes learning in digital age. It enables learners to learn more effectively, efficiently, flexibly and comfortably.",AICTE,"AICTE, MIC-Student Innovation",Hardware,Smart Education,0,500,30 September 2026,,
SIH26225,"Student Innovation-Challenge your creative mind to conceptualize and develop unique toys and games based on our civilization, history, and culture etc.",AICTE,"AICTE, MIC-Student Innovation",Hardware,Toys & Games,0,500,30 September 2026,,
SIH26226,"Student Innovation-Space technology refers to the application of engineering principles to the design, development, manufacture, and operation of devices and systems for space travel and exploration.",AICTE,"AICTE, MIC-Student Innovation",Hardware,Space Technology,1,500,30 September 2026,,
SIH26227,Semantic Retrieval and Multi-Temporal Change Analysis of Satellite lmagery.,Ministry of defence (MoD),Indian Army (DGIS),Software,Space Technology,2,500,30 September 2026,,
SIH26228,"Trustworthy Computer Vision Integrity Assurance for Data, Models and Inference Outputs in Multi-Contributor Pipelines",Ministry of defence (MoD),Indian Army (DGIS),Software,Blockchain & Cybersecurity,1,500,30 September 2026,,
SIH26229,Kabadiwala Connect – Bringing the Informal Collector into the Formal Recycling Chain,Ministry of Mines (MoM),Jawaharlal Nehru Aluminium Research Development and Design Centre (JNARDDC),Software,Clean & Green Technology,1,500,30 September 2026,,
SIH26230,Breath-Based Detection Device for Drug Consumption,Ministry of Home Affairs,Narcotics Control Bureau,Hardware,MedTech / BioTech / HealthTech,0,500,30 September 2026,,
SIH26231,Digital Companion for Field Drug Testing,Ministry of Home Affairs,Narcotics Control Bureau,Software,MedTech / BioTech / HealthTech,2,500,30 September 2026,,
SIH26232,Low-Cost loT Block chain Nodes for Farm-to-Fork Traceability,Ministry of Food Processing Industries (MoFPI),Ministry of Food Processing Industries (MoFPI),Hardware,"Agriculture, FoodTech & Rural Development",0,500,30 September 2026,,
SIH26233,Inline Microbial Contamination Detection Using Hyperspectral Edge Sensors,Ministry of Food Processing Industries (MoFPI),Ministry of Food Processing Industries (MoFPI),Hardware,"Agriculture, FoodTech & Rural Development",1,500,30 September 2026,,
SIH26234,Al-Powered Smart Food Waste Reduction and Sustainable Redistribution Ecosystem for Institutional Kitchens and Food Processing Units,Ministry of Food Processing Industries (MoFPI),Ministry of Food Processing Industries (MoFPI),Software,"Agriculture, FoodTech & Rural Development",0,500,30 September 2026,,
SIH26235,Development of a Portable Nano engineered Rapid Food Testing Kit for On-Site Detection of Food Adulterants and Contaminants,Ministry of Food Processing Industries (MoFPI),Ministry of Food Processing Industries (MoFPI),Hardware,"Agriculture, FoodTech & Rural Development",0,500,30 September 2026,,
SIH26236,Al-Based Intelligent Food Packaging Material Recommendation System for Food Commodities,Ministry of Food Processing Industries (MoFPI),Ministry of Food Processing Industries (MoFPI),Software,"Agriculture, FoodTech & Rural Development",2,500,30 September 2026,,
SIH26237,Cryptographic Attribution and Immutable Decryption Provenance for Multi-Recipient Encrypted Document Distribution,Ministry of Defence,Indian Navy (WESEE),Software,Blockchain & Cybersecurity,0,500,30 September 2026,,
